מספר סידורי,לינק,שם משתמש,תיאור קצר,תאריך פרסום,ז'אנר ויזואלי,סוג הטקס,טכניקת הומור,מושא ההומור,לייקים,צפיות (Plays),תגובות,% לייקים/צפיות,% תגובות/צפיות,מדד מעורבות משוקלל (%)
001,https://www.instagram.com/p/C-KoXIwIfit/,chef__pier,"שף חותך כרוב סיני, והכיתוב ""Oh 😱!"" חושף את הגבעול החתוך כדמות אנוש מוטלת — הקולגה מגיב בהלם",02.08.2024,מערכון עלילתי,חשיפה,הפתעה,המקצוע,3728497,182763811,13150,2.04%,0.01%,2.08%
002,https://www.instagram.com/p/Dalsx4HNkYG/,alter.simpl_ma,צוות המסעדה הגרמנית מגיש שניצלים בקצב מסונכרן שהופך לכוריאוגרפיה מוגזמת,09.07.2026,וולוג משמרת,חשיפה,התנהגות ליצנית,הצוות,238132,4159473,112,5.73%,0.00%,5.74%
003,https://www.instagram.com/p/DLArDAjsaf7/,__ac_too_cold,"תחת הכיתוב ""How the waiter be with your food"" המלצר מקרב את צלחות הכנפיים לשולחן, מושך חזרה ומסתלק איתן",17.06.2025,מערכון עלילתי,חשיפה,התנהגות ליצנית,הצוות,88193,1306834,686,6.75%,0.05%,7.01%
004,https://www.instagram.com/p/DammMmehuSZ/,kenilworthbakery,"על שאלת לקוח ""Hey is that Jam fresh?"" העובד טובל אצבע בריבה וטועם, וכל הצוות מצטרף למופע השכנוע",10.07.2026,מערכון עלילתי,חשיפה,התנהגות ליצנית,הצוות,3226,125980,23,2.56%,0.02%,2.65%
005,https://www.instagram.com/p/DTQupH4gI0r/,jijis.kitchenn,"תקריב חיתוך עוגה תחת הכיתוב ""Why is everyone so against sugar? It wasn't lettuce"" שמגן על הקינוח",08.01.2026,אסתטיקת מזון,צריכה,סאטירה,הלקוח,555078,14851646,2069,3.74%,0.01%,3.81%
006,https://www.instagram.com/p/DT5p4UnDAR6/,bene.sz,"תחת הכיתוב ""pov: that friend who orders sourdough"" חיתוך טוסט המחמצת הקשיח מרעיד את כל השולחן",24.01.2026,אסתטיקת מזון,צריכה,הפתעה,הלקוח,1434602,40927756,9234,3.51%,0.02%,3.62%
007,https://www.instagram.com/p/DYROkTaoBqc/,bakeribaltzersen,"מונטאז' ""Worst things to say in the bakery"" — משפטי אימה כמו מדיח מקולקל, אין שמרים ו-50 קרואסונים חסרים",13.05.2026,אסתטיקת מזון,חשיפה,סאטירה,המקצוע,5597,141578,129,3.95%,0.09%,4.41%
008,https://www.instagram.com/p/DV8mNQXE8fU/,taliaafawaz,"לקוחה נוגסת בקרואסון ענק ומגלה בהפתעה תחת ""Who was gonna tell me the top layer was all POWDERED SUGAR"" שהשכבה העליונה אבקת סוכר",16.03.2026,אסתטיקת מזון,צריכה,הפתעה,הלקוח,268741,20243522,2542,1.33%,0.01%,1.39%
009,https://www.instagram.com/p/DZXUKFFOFUx/,bartholomewbakery,"תחת הכיתוב ""POV: After you work 8 hours in pastry section"" קונדיטור עייף מנגב את פניו והמגבת נחשפת עמוסת קמח",09.06.2026,פוב,חשיפה,סלפסטיק,המקצוע,8323,200841,39,4.14%,0.02%,4.24%
010,https://www.instagram.com/p/DaqeLJOtOf0/,alter.simpl_ma,"מאבק נצחי בין עובדי המסעדה על בקבוק אלכוהול, כשכל אחד חוטף אותו מהשני בתורו",11.07.2026,מערכון עלילתי,חשיפה,סלפסטיק,הצוות,78389,2239621,681,3.50%,0.03%,3.65%
011,https://www.instagram.com/p/DOEpKsaEWmI/,gelaterra,"תחת ""We don't condone food waste"" העובד מציל שאריות גלידה בכך שהוא זולל אותן בעצמו",01.09.2025,מערכון עלילתי,צריכה,אירוניה,הצוות,2019,75087,10,2.69%,0.01%,2.76%
012,https://www.instagram.com/p/DQU6L8QEbTa/,gordosbubblewaffles,"העובד מציע ללקוחה תחת ""Your ex blocked you? Come buy a waffle and you can stalk him on my phone"" לעקוב אחרי האקס מהטלפון שלו",27.10.2025,מערכון עלילתי,חשיפה,התנהגות ליצנית,הצוות,14292,594513,199,2.40%,0.03%,2.57%
013,https://www.instagram.com/p/DagQf6bBUWW/,chalu.pasteleria,"הקונדיטור מציג ""טריק קסמים"" שבו הקרואסון נעלם מהמגש — כי הוא פשוט אכל אותו",07.07.2026,מערכון עלילתי,חשיפה,הפתעה,הצוות,7932,714122,16,1.11%,0.00%,1.12%
014,https://www.instagram.com/p/DTBLrVuD0wP/,thehivedonuthut,"משחק מילים: הלקוח מבקש ""a question about the menu"" והעובד עונה ""The men I please is none of your business""",02.01.2026,מערכון עלילתי,חשיפה,אי-הבנה,הצוות,1106367,28682264,4605,3.86%,0.02%,3.94%
015,https://www.instagram.com/p/DWV6jZdjLSL/,chefecekirisci,"תחת ""POV: You work in kitchen"" טבחית סוגרת שוב ושוב דלת מתכת שמסרבת להישאר סגורה, עד הפלת ראש מיואשת",26.03.2026,פוב,חשיפה,סלפסטיק,המקצוע,17946,389810,20,4.60%,0.01%,4.63%
016,https://www.instagram.com/p/DWea3lNIEMM/,carmelmelrose,"הכיתוב ""Customers enjoying their conversation"" מתחלף ל""Me also enjoying"" — העובד מצותת בהנאה לשיחת הסועדים",29.03.2026,מערכון עלילתי,חשיפה,התנהגות ליצנית,הצוות,50462,961993,202,5.25%,0.02%,5.35%
017,https://www.instagram.com/p/DHL4oF0ss8q/,gateau_ghost,"תחת ""pov: trying to entertain the customer while the register is down"" הבריסטה מבצע ריקודים ומחוות מביכות מעבר לדלפק",14.03.2025,פוב,חשיפה,התנהגות ליצנית,הצוות,264795,3702979,883,7.15%,0.02%,7.27%
018,https://www.instagram.com/p/DauD76OOLl8/,sarah.jagdip,"הקונדיטורית מגלה שהעבודה שהשקיעה בה נהרסה, ומגיבה בהשלמה עייפה בכיתוב ""Ugh hate that""",13.07.2026,פוב,חשיפה,אירוניה,המקצוע,262241,3047085,142,8.61%,0.00%,8.63%
019,https://www.instagram.com/p/C8Mrn07x7ad/,adorkandherfork,"זיכרון ""one year ago today"" בטלפון מתגלה כרצף תמונות של קינוחים בלבד, ללא אף אדם",14.06.2024,אסתטיקת מזון,צריכה,אירוניה,הלקוח,4758681,74791502,8273,6.36%,0.01%,6.42%
020,https://www.instagram.com/p/DYDWdvqJhD8/,yessii.official,"תחת ""POV: you forgot this was a date"" הסועדת שקועה בטלפון ובאוכל המקסיקני ומתעלמת לגמרי מבן הזוג",07.05.2026,פוב,צריכה,אירוניה,הלקוח,1030710,12241310,729,8.42%,0.01%,8.45%
021,https://www.instagram.com/p/C0bp17BIjFJ/,chef__pier,שוטף כלים מגבש מהקצף כדור ראסנגן מושלם ומציג אותו בגאווה לשף הספקן,04.12.2023,מערכון עלילתי,חשיפה,פרודיה,הצוות,1407037,44734165,2114,3.15%,0.00%,3.17%
022,https://www.instagram.com/p/C-1VnNdvz_W/,tacomasataqueria,"לקוח מבקש ""compliments to the chef"", והמלצר מעביר לטבח ""you are beautiful"" שמביך אותו מול הצוות",19.08.2024,מערכון עלילתי,חשיפה,התנהגות ליצנית,הצוות,292336,5182945,395,5.64%,0.01%,5.68%
023,https://www.instagram.com/p/DRYxQz4Ejdi/,barklyshotel,"תחת ""POV: when the chef hasn't finished garnishing"" הצוות מנסה לחטוף את הצלחת והשף מושך אותה חזרה כדי להוסיף קישוט",21.11.2025,פוב,חשיפה,התנהגות ליצנית,הצוות,145887,4381944,903,3.33%,0.02%,3.43%
024,https://www.instagram.com/p/DJL8-jco-YF/,_josiescakeco_,"תחת הכיתוב ""The customer cancels their order but then says they can collect"" העובדות נתפסות מרוחות בקרם וזוללות מההזמנה",03.05.2025,מערכון עלילתי,חשיפה,אירוניה,הצוות,187992,3331201,41,5.64%,0.00%,5.65%
025,https://www.instagram.com/p/DFqq5ZvxP8g/,gordosbubblewaffles,"תחת ""Anything for our customers"" העובד נמתח לקצה גופו כדי להגיש ללקוח את הגלידה בלי לזוז מהעמדה",04.02.2025,מערכון עלילתי,חשיפה,התנהגות ליצנית,המסעדה,393129,6699198,1488,5.87%,0.02%,5.98%
026,https://www.instagram.com/p/DYPmz6ZuBAx/,gracecafe.co,"הבריסטה מכינה משקאות ללקוחות כל היום תחת הכיתוב ""sacrificing my cravings daily"" ומביטה בהם בערגה",12.05.2026,וולוג משמרת,חשיפה,אירוניה,המקצוע,32474,549021,267,5.91%,0.05%,6.16%
027,https://www.instagram.com/p/DYshc2lIIKk/,humo_tacosygorditas,"""Life with Victor"" — כל עובד שנתפס מתבטל הופך לחרוץ ברגע שהמנהל מופיע מאחוריו",23.05.2026,מערכון עלילתי,חשיפה,הפתעה,הצוות,433559,6918032,1850,6.27%,0.03%,6.40%
028,https://www.instagram.com/p/DaEc7xkPoO3/,nomnomcomfortfood,"תחת ""what I really wanna do when the customer is complaining"" העובד מדמיין את עצמו נותן סטירה ללקוחה המתלוננת",27.06.2026,מערכון עלילתי,חשיפה,התנהגות ליצנית,הצוות,26144,479893,85,5.45%,0.02%,5.54%
029,https://www.instagram.com/p/DXUqiNcEaUf/,ojedasdallas,"לקוח ותיק מבקש משהו מהעובד קרלוס, וזה מבצע מיד בלי להתווכח תחת ""Don't have to tell Carlos twice""",19.04.2026,מערכון עלילתי,חשיפה,התנהגות ליצנית,הצוות,44268,1054248,189,4.20%,0.02%,4.29%
030,https://www.instagram.com/p/DEJb5ByS1QK/,sumthindumplin,"תחת הכיתוב ""My therapist said you should chase what you love"" גבר רודף ברחוב אחרי קופסת כיסונים",29.12.2024,פוב,צריכה,אי-הבנה,הלקוח,6762,574963,97,1.18%,0.02%,1.26%
031,https://www.instagram.com/p/DZcuWYZR1di/,hearthdenver,"תחת ""POV trying to have a conversation while eating croissants"" הסועדים מנופפים בקרואסונים והפירורים מתעופפים לכל עבר",11.06.2026,פוב,צריכה,התנהגות ליצנית,הלקוח,1566058,19463725,5177,8.05%,0.03%,8.18%
032,https://www.instagram.com/p/DI9ap8UN0sO/,ali.channel,"סועד מיוסר תחת הכיתוב ""I'm so full"", ובהופעת ""Dessert"" זולל טירמיסו במרץ",27.04.2025,מערכון עלילתי,צריכה,אירוניה,הלקוח,94766,1782074,154,5.32%,0.01%,5.36%
033,https://www.instagram.com/p/DOZHo2ajeLY/,smashers,"לקוח מודיע שלא רצה גבינה, והעובד מגיש מחדש את אותו בורגר בטענה ""we're not that type of company"" שזורק אוכל",09.09.2025,מערכון עלילתי,חשיפה,אירוניה,הצוות,515855,9641851,1498,5.35%,0.02%,5.43%
